M2,t8201,T3132,r6159,o100
M2,t8301,T3124,r6157,o100
M2,t8401,T3111,r6159,o100
M2,t8501,T3096,r6157,o100
M2,t8601,T3095,r6157,o100
M2,t8701,T3118,r6166,o100
M2,t8801,T3104,r6159,o100
M2,t8901,T3112,r6162,o100
M2,t9001,T3101,r6171,o100
M2,t9101,T3116,r6159,o100
M2,t9201,T3151,r6157,o100
M2,t9301,T3146,r6159,o100
M2,t9401,T3149,r6157,o100
M2,t9501,T3130,r6159,o100
M2,t9601,T3118,r6159,o100
M2,t9701,T3118,r6159,o100
M2,t9801,T3113,r6159,o100
M2,t9901,T3111,r6164,o100
M2,t10001,T3144,r6159,o100
M2,t10101,T3138,r6159,o100
M2,t10201,T3102,r6159,o100
M2,t10301,T3107,r6159,o100
M2,t10401,T3114,r6159,o100
M2,t10501,T3112,r6159,o100
M2,t10601,T3096,r6171,o100
M2,t10701,T3109,r6157,o100
M2,t10801,T3105,r6162,o100
M2,t10901,T3103,r6157,o100
M2,t11001,T3088,r6162,o100
M2,t11101,T3096,r6157,o100
M2,t11201,T3119,r6159,o100
M2,t11301,T3123,r6159,o100
M2,t11401,T3115,r6159,o100
M2,t11501,T3146,r6159,o100
M2,t11601,T3125,r6159,o100
M2,t11701,T3140,r6159,o100
M2,t11801,T3122,r6159,o100
M2,t11901,T3115,r6159,o100
M2,t12001,T3098,r6159,o100
M2,t12101,T3105,r6159,o100
M2,t12201,T3108,r6159,o100
M2,t12301,T3085,r6159,o100
M2,t12401,T3095,r6157,o100
M2,t12501,T3085,r6159,o100
M2,t12601,T3105,r6159,o100
M2,t12701,T3127,r6159,o100
M2,t12801,T3103,r6159,o100
M2,t12901,T3088,r6159,o100
M2,t13001,T3116,r6159,o100
M2,t13101,T3122,r6162,o100
M2,t13201,T3502,r6159,o86
M2,t13301,T3281,r6159,o97
M2,t13401,T3193,r6159,o100
M2,t13501,T3119,r6157,o100
M2,t13601,T3109,r6157,o100
M2,t13701,T3095,r6162,o100
M2,t13801,T3123,r6159,o100
M2,t13901,T3120,r6159,o100
M2,t14001,T3076,r6159,o100
M2,t14101,T3062,r6159,o100
M2,t14201,T3168,r6166,o100
M2,t14301,T3133,r6164,o100
M2,t14401,T3119,r6157,o100
M2,t14501,T3124,r6164,o100
M2,t14601,T3120,r6162,o100
M2,t14701,T3124,r6159,o100
M2,t14801,T3149,r6162,o100
M2,t14901,T3131,r6162,o100
M2,t15001,T3094,r6159,o100
M2,t15101,T3104,r6162,o100
M2,t15201,T3088,r6157,o100
M2,t15301,T3063,r6159,o100
M2,t15401,T3072,r6157,o100
M2,t15501,T3100,r6159,o100
M2,t15601,T3101,r6159,o100
M2,t15701,T3092,r6159,o100
M2,t15801,T3127,r6159,o100
M2,t15901,T3117,r6157,o100
M2,t16001,T3098,r6159,o100
M2,t16101,T3115,r6157,o100
M2,t16201,T3112,r6159,o100
M2,t16301,T3125,r6157,o100
M2,t16401,T3126,r6157,o100
M2,t16501,T3126,r6159,o100
M2,t16601,T3107,r6171,o100
M2,t16701,T3123,r6159,o100
M2,t16801,T3125,r6157,o100
M2,t16901,T3135,r6157,o100
M2,t17001,T3115,r6159,o100
M2,t17101,T3136,r6157,o100
M2,t17201,T3154,r6159,o100
M2,t17301,T3186,r6159,o100
M2,t17401,T3174,r6157,o100
M2,t17501,T3194,r6159,o100
M2,t17601,T3182,r6162,o100
M2,t17701,T3178,r6159,o100
