M-1,t100,T2132,r5014,o0
M-1,t200,T2990,r5017,o0
M-1,t300,T3371,r5024,o0
M-1,t400,T3490,r5017,o0
M-1,t500,T3552,r5019,o0
M-1,t600,T3582,r5017,o0
M-1,t700,T3584,r5019,o0
M-1,t800,T3595,r5017,o0
M-1,t900,T3613,r5014,o0
M-1,t1000,T3577,r5019,o0
M-1,t1100,T3587,r5017,o0
M-1,t1200,T3577,r5019,o0
M-1,t1300,T3543,r5017,o0
M-1,t1400,T3573,r5017,o0
M-1,t1500,T3590,r5017,o0
M-1,t1600,T3597,r5019,o0
M-1,t1700,T3542,r5019,o0
M-1,t1800,T3539,r5017,o0
M-1,t1900,T3557,r5017,o0
M-1,t2000,T3569,r5014,o0
M-1,t2100,T3555,r5021,o0
M-1,t2200,T3564,r5019,o0
M-1,t2300,T3557,r5019,o0
M-1,t2400,T3550,r5019,o0
M-1,t2500,T3547,r5017,o0
M-1,t2600,T3590,r5017,o0
M-1,t2700,T3578,r5019,o0
M-1,t2800,T3553,r5021,o0
M-1,t2900,T3539,r5019,o0
M-1,t3000,T3528,r5019,o0
M-1,t3100,T3548,r5017,o0
M-1,t3200,T3566,r5019,o0
M-1,t3300,T3549,r5017,o0
M-1,t3400,T3542,r5017,o0
M-1,t3500,T3563,r5017,o0
M-1,t3600,T3538,r5021,o0
M-1,t3700,T3538,r5017,o0
M-1,t3800,T3591,r5014,o0
M-1,t3900,T3568,r5017,o0
M-1,t4000,T3564,r5019,o0
M-1,t4100,T3572,r5017,o0
M-1,t4200,T3566,r5017,o0
M-1,t4300,T3602,r5021,o0
M-1,t4400,T3563,r5019,o0
M-1,t4500,T3567,r5017,o0
M-1,t4600,T3593,r5014,o0
M-1,t4700,T3593,r5014,o0
M-1,t4800,T3574,r5019,o0
M-1,t4900,T3581,r5021,o0
M-1,t5000,T3589,r5017,o0
M-1,t5100,T3587,r5017,o0
M-1,t5200,T3615,r5017,o0
M-1,t5300,T3607,r5019,o0
M-1,t5401,T3599,r5014,o0
M-1,t5500,T3586,r5014,o0
M-1,t5601,T3581,r5019,o0
M-1,t5701,T3579,r5014,o0
M-1,t5801,T3559,r5017,o0
M-1,t5900,T3560,r5019,o0
M-1,t6000,T3546,r5014,o0
M-1,t6101,T3555,r5014,o0
M-1,t6201,T3603,r5021,o0
M-1,t6301,T3612,r5017,o0
M-1,t6401,T3601,r5017,o0
M-1,t6501,T3568,r5017,o0
M-1,t6601,T3574,r5014,o0
M-1,t6701,T3586,r5017,o0
M-1,t6801,T3595,r5017,o0
M-1,t6901,T3604,r5017,o0
M-1,t7001,T3598,r5019,o0
M-1,t7101,T3576,r5014,o0
M-1,t7201,T3558,r5014,o0
M-1,t7301,T3584,r5019,o0
M-1,t7401,T3566,r5017,o0
M-1,t7501,T3621,r5017,o0
M-1,t7601,T3580,r5017,o0
M-1,t7701,T3579,r5019,o0
M-1,t7801,T3578,r5019,o0
M-1,t7901,T3558,r5014,o0
M-1,t8001,T3594,r5019,o0
M-1,t8101,T3618,r5017,o0
M-1,t8201,T3594,r5014,o0
M-1,t8301,T3560,r5019,o0
M-1,t8401,T3570,r5014,o0
M-1,t8501,T3609,r5017,o0
M-1,t8601,T3600,r5019,o0
M-1,t8701,T3596,r5017,o0
M-1,t8801,T3585,r5014,o0
M0,t8901,T3561,r5017,o29
M0,t9001,T3527,r5019,o30
M0,t9101,T3528,r5017,o30
